time,utilization_percent,ACC_TFLOPS,cap_tflops_TFLOPS,NPU0_tasks,NPU1_tasks,NPU2_tasks
10,0.0,0.0,81.81675,-,-,-
20,0.0,0.0,81.81675,-,-,-
30,0.0,0.0,81.81675,-,-,-
40,0.0,0.0,81.81675,-,-,-
50,19.87,1.872694,81.81675,-,5-1/3,2-3/3
60,57.56,7.749561,81.81675,3-2/2|4-3/3,5-1/3,2-3/3|5-3/3
70,98.36,15.435574,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
80,98.36,23.565042,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
90,98.36,29.887962,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
100,98.36,34.946298,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
110,98.36,39.084936,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
120,98.36,42.533801,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
130,98.36,45.452072,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
140,98.36,47.953447,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
150,98.36,50.121305,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
160,98.36,52.018181,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
170,98.36,53.691895,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
180,98.36,55.17964,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
190,98.36,56.510781,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
200,98.36,57.708808,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
210,98.36,58.792737,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
220,98.36,59.778127,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
230,98.36,60.677831,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
240,98.36,61.50256,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
250,98.36,62.26131,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
260,98.36,62.961695,81.81675,3-2/2|4-3/3|2-2/3,5-1/3|3-1/2|2-1/3,2-3/3|5-3/3|5-2/3
